Year,New York City Population,NYC Consumption(Million gallons per day),Per Capita(Gallons per person per day)
1979,"7,102,100","1,512",213
1980,"7,071,639","1,506",213
1981,"7,089,241","1,309",185
1982,"7,109,105","1,382",194
1983,"7,181,224","1,424",198
1984,"7,234,514","1,465",203
1985,"7,274,054","1,326",182
1986,"7,319,246","1,351",185
1987,"7,342,476","1,447",197
1988,"7,353,719","1,484",202
1989,"7,344,175","1,402",191
1990,"7,335,650","1,424",194
1991,"7,374,501","1,469",199
1992,"7,428,944","1,369",184
1993,"7,506,166","1,368.5",182
1994,"7,570,458","1,357.7",179
1995,"7,633,040","1,325.7",174
1996,"7,697,812","1,297.9",169
1997,"7,773,443","1,205.5",155
1998,"7,858,259","1,219.5",155
1999,"7,947,660","1,237.2",156
2000,"8,008,278","1,240.4",155
2001,"8,024,963.5","1,184",148
2002,"8,041,649","1,135.6",141
2003,"8,058,334.5","1,093.7",136
2004,"8,075,020","1,099.5",136
2005,"8,091,705.5","1,138",141
2006,"8,108,391","1,069",132
2007,"8,125,076.5","1,114",137
2008,"8,141,762","1,098",135
2009,"8,158,447.5","1,007.5",123
2010,"8,175,133","1,039",127
2011,"8,284,098","1,021",123
2012,"8,361,179","1,009.1",121
2013,"8,422,460","1,006.1",119
2014,"8,471,990",996,118
2015,"8,516,502","1,009",118
2016,"8,537,673","1,002",117
2017,"8,622,698",990.2,115
